user,tweet
@pyconcolombia,En 3 días cierra la convocatoria de Becas de oportunidad de PyCon Colombia 2022 https://2022.pycon.co/scholarships/scholarships-es.html… ¡Apresúrate aún estas a tiempo de para postularte! #Becas #Oportunidad #Comunidad #Aprendizaje #Conferencia #Inclusión #Tecnologia #Python
@CloudDoor1,#clouddoor #clouddoor #clouddoor La IA de GitHub Copilot ya escribe el 35% de código de lenguajes como Java o Python. Y llegará muy pronto a todo el mundo http://dlvr.it/SS4Kqy
@tycgis,Hay diferentes programas y librerías que permiten la descarga de datos de 𝗢𝗽𝗲𝗻𝗦𝘁𝗿𝗲𝗲𝘁𝗠𝗮𝗽 de manera directa. Leer más: https://bit.ly/descarga_OSM #QGIS #python #quickosm #OpenStreetMap #SIG #Descargar
@EugeniaBahitOK,"¡Muy buenos días! Les cuento que hemos lanzado Python Aplicado y Fundamentos de Ciencias Informáticas en Google Play. Y por el lanzamiento, Fundamentos de Ciencias Informáticas para #programación, estará con un 42% de descuento hasta el 30 de junio https://play.google.com/store/books/details?id=kUR0EAAAQBAJ…"
@facialix,Cupón Udemy en español: Python 3 &#8211; Desde cero para principiantes y no programadores con 100% de descuento por tiempo LIMITADO
@facialix,Cupón Udemy en español: Cositas que se pueden hacer con Python con 100% de descuento por tiempo LIMITADO
@PlanetaChatbot,En el post de hoy te traemos un tutorial sobre cómo utilizar la API de Slack en Python Descubre cómo enviar mensajes a Slack usando Python ¡No te lo pierdas! #PlanetaChatbot https://planetachatbot.com/enviar-mensajes-a-slack-usando-python…
@taigaio,"¡SORTEO! ¡¡El @PyConES ha tenido tal acogida que las entradas han volado!! Por eso, os traemos un sorteo dónde podréis ganar una de las tres entradas que sorteamos Para participar solo tienes que responder a esta pregunta: ¿Por qué utilizas Python? #python #concurso #agile"
@surnoticiasperu,¿Porqué son considerado los 10 mejores proyecto de Python?
@bit_institute,"No aplaces más tu sueño de ser #DesarrolladorWeb, pregunta por todas nuestra excelentes opciones de financiación, escribiendonos a nuestro WhatsApp 3023349919. http://Bit.institute #BITInstitute #Bogota #Developer #Programacion #Python #CursosDeProgramacion"
